Date,Confirmed,Recovered,Deaths
2020/1/22,0,0,0
2020/1/23,0,0,0
2020/1/24,0,0,0
2020/1/25,0,0,0
2020/1/26,0,0,0
2020/1/27,0,0,0
2020/1/28,0,0,0
2020/1/29,0,0,0
2020/1/30,1,0,0
2020/1/31,1,0,0
2020/2/1,1,0,0
2020/2/2,2,0,0
2020/2/3,3,0,0
2020/2/4,3,0,0
2020/2/5,3,0,0
2020/2/6,3,0,0
2020/2/7,3,0,0
2020/2/8,3,0,0
2020/2/9,3,0,0
2020/2/10,3,0,0
2020/2/11,3,0,0
2020/2/12,3,0,0
2020/2/13,3,0,0
2020/2/14,3,0,0
2020/2/15,3,0,0
2020/2/16,3,3,0
2020/2/17,3,3,0
2020/2/18,3,3,0
2020/2/19,3,3,0
2020/2/20,3,3,0
2020/2/21,3,3,0
2020/2/22,3,3,0
2020/2/23,3,3,0
2020/2/24,3,3,0
2020/2/25,3,3,0
2020/2/26,3,3,0
2020/2/27,3,3,0
2020/2/28,3,3,0
2020/2/29,3,3,0
2020/3/1,3,3,0
2020/3/2,5,3,0
2020/3/3,5,3,0
2020/3/4,28,3,0
2020/3/5,30,3,0
2020/3/6,31,3,0
2020/3/7,34,3,0
2020/3/8,39,3,0
2020/3/9,43,3,0
2020/3/10,56,4,0
2020/3/11,62,4,1
2020/3/12,73,4,1
2020/3/13,82,4,2
2020/3/14,102,4,2
2020/3/15,113,13,2
2020/3/16,119,13,2
2020/3/17,142,14,3
2020/3/18,156,14,3
2020/3/19,194,15,4
2020/3/20,244,20,5
2020/3/21,330,23,4
2020/3/22,396,27,7
2020/3/23,499,27,10
2020/3/24,536,40,10
2020/3/25,657,43,12
2020/3/26,727,45,20
2020/3/27,887,73,20
2020/3/28,987,84,24
2020/3/29,1024,95,27
2020/3/30,1251,102,32
2020/3/31,1397,123,35
2020/4/1,1998,148,58
2020/4/2,2543,191,72
2020/4/3,2567,192,72
2020/4/4,3082,229,86
2020/4/5,3588,229,99
2020/4/6,4778,375,136
2020/4/7,5311,421,150
2020/4/8,5916,506,178
2020/4/9,6725,620,226
2020/4/10,7598,774,246
2020/4/11,8446,969,288
2020/4/12,9205,1080,331
2020/4/13,10453,1181,358
2020/4/14,11487,1359,393
2020/4/15,12322,1432,405
2020/4/16,13430,1768,448
2020/4/17,14352,2041,486
2020/4/18,15722,2463,521
2020/4/19,17615,2854,559
2020/4/20,18539,3273,592
2020/4/21,20080,3975,645
2020/4/22,21370,4370,681
2020/4/23,23077,5012,721
2020/4/24,24530,5498,780
2020/4/25,26283,5939,825
2020/4/26,27890,6523,881
2020/4/27,29451,7137,939
2020/4/28,31324,7747,1008
2020/4/29,33062,8437,1079
2020/4/30,34863,9068,1154
2020/5/1,37257,10007,1223
2020/5/2,39699,10819,1323
2020/5/3,42505,11775,1391
2020/5/4,46437,12847,1566
2020/5/5,49400,14142,1693
2020/5/6,52987,15331,1785
2020/5/7,56351,16776,1889
2020/5/8,59695,17887,1985
2020/5/9,62808,19301,2101
2020/5/10,67161,20969,2212
2020/5/11,70768,22549,2294
2020/5/12,74292,24420,2415
2020/5/13,78055,26400,2551
2020/5/14,81997,27969,2649
2020/5/15,85784,30258,2753
2020/5/16,90648,34224,2871
2020/5/17,95698,36795,3025
2020/5/18,100328,39233,3156
2020/5/19,106475,42309,3302
2020/5/20,112028,45422,3434
2020/5/21,118226,48553,3584
2020/5/22,124794,51824,3726
2020/5/23,131423,54385,3868
2020/5/24,138536,57692,4024
2020/5/25,144950,60706,4172
2020/5/26,150793,64277,4344
2020/5/27,158086,67749,4534
2020/5/28,165386,70920,4711
2020/5/29,173491,82627,4980
2020/5/30,181827,86936,5185
2020/5/31,190609,91852,5408
2020/6/1,198370,95754,5608
2020/6/2,207191,100285,5829
2020/6/3,216824,104071,6088
2020/6/4,226713,108450,6363
2020/6/5,236184,113233,6649
2020/6/6,246622,118695,6946
2020/6/7,257486,123848,7207
2020/6/8,265928,129095,7473
2020/6/9,276146,134670,7750
2020/6/10,286605,135206,8102
2020/6/11,297535,147195,8498
2020/6/12,308993,154330,8884
2020/6/13,320922,162379,9195
2020/6/14,332424,169798,9520
2020/6/15,343091,180013,9900
2020/6/16,354065,186935,11903
2020/6/17,366946,194325,12237
2020/6/18,380532,204711,12573
2020/6/19,395048,213831,12948
2020/6/20,410451,227728,13254
2020/6/21,425282,237196,13699
2020/6/22,440215,248190,14011
2020/6/23,456183,258685,14476
2020/6/24,473105,271697,14894
2020/6/25,490401,285637,15301
2020/6/26,508953,295881,15685
2020/6/27,528859,309713,16095
2020/6/28,548318,321723,16475
2020/6/29,566840,334822,16893
2020/6/30,585481,347912,17400
2020/7/1,604641,359860,17834
2020/7/2,625544,379892,18213
2020/7/3,648315,394227,18655
2020/7/4,673165,409083,19268
2020/7/5,697413,424433,19693
2020/7/6,719664,439934,20159
2020/7/7,742417,456831,20642
2020/7/8,767296,476378,21129
2020/7/9,793802,495513,21604
2020/7/10,820916,515386,22123
2020/7/11,849522,534618,22673
2020/7/12,878254,553471,23174
2020/7/13,906752,571460,23727
2020/7/14,936181,592032,24309
2020/7/15,968857,612768,24914
2020/7/16,1003832,635757,25602
2020/7/17,1039084,653751,26273
2020/7/18,1077781,677423,26816
2020/7/19,1118206,700087,27497
2020/7/20,1155338,724578,28082
2020/7/21,1193078,753050,28732
2020/7/22,1238798,782607,29861
2020/7/23,1288108,817209,30601
2020/7/24,1337024,849432,31358
2020/7/25,1385635,885573,32060
2020/7/26,1435616,917568,32771
2020/7/27,1480073,951166,33408
2020/7/28,1531669,988029,34193
2020/7/29,1581963,1019735,34955
2020/7/30,1634746,1055348,35718
2020/7/31,1695988,1094374,36511
2020/8/1,1750723,1145629,37364
2020/8/2,1803695,1186203,38135
2020/8/3,1855745,1230509,38938
2020/8/4,1908254,1282215,39795
2020/8/5,1964536,1328336,40699
2020/8/6,2027074,1378105,41585
2020/8/7,2088611,1427005,42518
2020/8/8,2153010,1480884,43379
2020/8/9,2215074,1535743,44386
2020/8/10,2268675,1583489,45257
2020/8/11,2329638,1639599,46091
2020/8/12,2396637,1695982,47033
2020/8/13,2461190,1751555,48040
2020/8/14,2525922,1808936,49036
2020/8/15,2589952,1862258,49980
2020/8/16,2647663,1919842,50921
2020/8/17,2702681,1977671,51797
2020/8/18,2767253,2037816,52888
2020/8/19,2836925,2096664,53866
2020/8/20,2905825,2158946,54849
2020/8/21,2975701,2222577,55794
2020/8/22,3044940,2280566,56706
2020/8/23,3106348,2338035,57542
2020/8/24,3167323,2404585,58390
2020/8/25,3224547,2458339,59357
2020/8/26,3310234,2523771,60472
2020/8/27,3387500,2583948,61529
2020/8/28,3463972,2648998,62550
2020/8/29,3542733,2713933,63498
2020/8/30,3621245,2774801,64469
2020/8/31,3691166,2839882,65288
2020/9/1,3769523,2901908,66333
2020/9/2,3853406,2970492,67376
2020/9/3,3936747,3037151,68472
2020/9/4,4023179,3107223,69561
2020/9/5,4113811,3180865,70626
2020/9/6,4204613,3250429,71642
2020/9/7,4280422,3323950,72775
2020/9/8,4370128,3398844,73890
2020/9/9,4465863,3471783,75062
2020/9/10,4562414,3542663,76271
2020/9/11,4659984,3624196,77472
2020/9/12,4754356,3702595,78586
2020/9/13,4846427,3780107,79722
2020/9/14,4930236,3859399,80776
2020/9/15,5020359,3942360,82066
2020/9/16,5118253,4025079,83198
2020/9/17,5214677,4112551,84372
2020/9/18,5308014,4208431,85619
2020/9/19,5400619,4303043,86752
2020/9/20,5487580,4396399,87882
2020/9/21,5562663,4497867,88935
2020/9/22,5646010,4587613,90020
2020/9/23,5732518,4674987,91149
2020/9/24,5818570,4756164,92290
